Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]	Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]
2460957.650682870299	1.72E-8	9.8E-9	1.55E-8	1.0399999619E0	2460957.650682870299	1.58E-8	9.1E-9	1.79E-8	1.9999998808E0
2460957.650729166809	1.91E-8	6.0E-9	2.01E-8	2.4399998188E0	2460957.650729166809	1.86E-8	7.0E-9	1.65E-8	1.5999999046E0
2460957.650879629422	1.72E-8	1.1E-8	2.13E-8	3.5799999237E0	2460957.650879629422	1.86E-8	5.9E-9	2.1E-8	2.6199998856E0
2460957.650925925933	1.94E-8	1.01E-8	2.12E-8	1.879999876E0	2460957.650925925933	1.5E-8	1.18E-8	2.97E-8	1.1599999666E0
2460957.650972222444	1.55E-8	8.4E-9	1.89E-8	1.2599999905E0	2460957.650972222444	1.43E-8	5.6E-9	1.95E-8	1.1999999285E0
2460957.651030092500	1.15E-8	8.3E-9	2.18E-8	1.8199999332E0	2460957.651030092500	1.87E-8	8.4E-9	2.56E-8	1.6799999475E0
2460957.651076389011	1.7E-8	1.21E-8	1.9E-8	2.4199998379E0	2460957.651076389011	1.97E-8	8.7E-9	1.99E-8	1.379999876E0
2460957.651122685056	2.18E-8	1.17E-8	1.39E-8	1.6199998856E0	2460957.651122685056	2.12E-8	8.4E-9	1.25E-8	1.1199998856E0
2460957.651226851624	2.03E-8	1.11E-8	1.89E-8	2.9399998188E0	2460957.651226851624	1.66E-8	1.04E-8	1.8E-8	2.4199998379E0
2460957.651377314702	1.77E-8	7.3E-9	1.99E-8	1.439999938E0	2460957.651377314702	4.7E-9	7.1E-9	2.21E-8	1.0199999809E0
2460957.651423611213	1.71E-8	8.7E-9	2.13E-8	1.5599999428E0	2460957.651423611213	1.44E-8	1.03E-8	1.77E-8	2.6799998283E0
2460957.651527777780	1.75E-8	1.13E-8	1.94E-8	1.9199999571E0	2460957.651527777780	1.7E-8	8.6E-9	2.15E-8	2.0399999619E0
2460957.651574074291	1.87E-8	8.8E-9	2.5E-8	2.3199999332E0	2460957.651574074291	1.85E-8	8.3E-9	1.69E-8	1.9600000381E0
2460957.651620370336	1.6E-8	6.6E-9	2.42E-8	1.4799998999E0	2460957.651620370336	1.63E-8	6.2E-9	2.73E-8	1.0199999809E0
2460957.651678240858	1.49E-8	8.6E-9	2.56E-8	2.3399999142E0	2460957.651678240858	1.6E-8	7.9E-9	2.21E-8	1.3199999332E0
2460957.651724536903	1.77E-8	8.0E-9	2.25E-8	3.1199998856E0	2460957.651724536903	1.49E-8	7.4E-9	2.5E-8	3.3599998951E0
2460957.651921296492	1.76E-8	9.2E-9	2.59E-8	2.9399998188E0	2460957.651921296492	1.58E-8	1.19E-8	1.66E-8	1.2999999523E0
2460957.652013889048	2.14E-8	8.1E-9	1.67E-8	2.1999998093E0	2460957.652013889048	1.42E-8	7.9E-9	2.25E-8	1.3199999332E0
2460957.652071759105	1.69E-8	6.4E-9	1.97E-8	2.6999998093E0	2460957.652071759105	2.08E-8	4.9E-9	2.33E-8	2.1799998283E0
2460957.652164351661	1.83E-8	1.04E-8	2.25E-8	2.2599999905E0	2460957.652164351661	1.24E-8	1.3E-8	1.96E-8	1.4600000381E0
2460957.652210648172	1.82E-8	7.5E-9	2.38E-8	2.6599998474E0	2460957.652210648172	1.85E-8	9.6E-9	1.97E-8	1.5800000429E0
2460957.652407407295	1.85E-8	1.04E-8	2.06E-8	2.3399999142E0	2460957.652407407295	1.91E-8	8.3E-9	1.65E-8	2.7599999905E0
2460957.652465277817	1.9E-8	6.6E-9	2.0E-8	2.6599998474E0	2460957.652465277817	1.34E-8	8.4E-9	2.8E-8	2.1799998283E0
2460957.652511573862	1.86E-8	6.5E-9	2.14E-8	2.0599999428E0	2460957.652511573862	1.85E-8	1.05E-8	1.94E-8	2.0599999428E0
2460957.652557870373	1.88E-8	1.1E-8	1.81E-8	4.0999999046E0	2460957.652557870373	1.82E-8	6.6E-9	2.22E-8	2.9599997997E0
2460957.652708333451	2.01E-8	5.2E-9	1.61E-8	1.7799999714E0	2460957.652708333451	1.52E-8	1.12E-8	1.46E-8	1.2199999094E0
2460957.652766203508	2.02E-8	1.11E-8	2.14E-8	1.6399999857E0	2460957.652766203508	2.6E-9	1.04E-8	2.79E-8	1.2999999523E0
2460957.652812500019	1.97E-8	8.2E-9	2.09E-8	3.5199999809E0	2460957.652812500019	1.89E-8	7.9E-9	3.04E-8	1.939999938E0
2460957.652858796529	2.04E-8	5.9E-9	2.11E-8	2.2599999905E0	2460957.652858796529	1.32E-8	1.04E-8	1.78E-8	2.1199998856E0
2460957.652962963097	1.3E-8	8.9E-9	2.78E-8	1.4799998999E0	2460957.652962963097	1.71E-8	1.1E-8	2.26E-8	1.2199999094E0
2460957.653113425709	2.19E-8	1.14E-8	2.16E-8	1.879999876E0	2460957.653113425709	1.71E-8	5.6E-9	2.22E-8	1.3199999332E0
2460957.653159722220	1.58E-8	5.2E-9	2.0E-8	1.8599998951E0	2460957.653159722220	2.21E-8	6.9E-9	2.02E-8	2.1799998283E0
2460957.653206018731	1.37E-8	1.26E-8	2.01E-8	2.1599998474E0	2460957.653206018731	1.49E-8	1.03E-8	2.13E-8	1.7999999523E0
2460957.653252314776	1.54E-8	7.3E-9	1.98E-8	3.0399999619E0	2460957.653252314776	1.74E-8	1.13E-8	1.77E-8	1.9199999571E0
2460957.653310185298	1.64E-8	7.6E-9	2.49E-8	1.7599998713E0	2460957.653310185298	1.76E-8	7.1E-9	1.75E-8	1.0199999809E0
2460957.653356481344	1.58E-8	1.21E-8	1.23E-8	1.939999938E0	2460957.653356481344	1.55E-8	8.8E-9	1.68E-8	1.3000000715E0
2460957.653449073900	1.69E-8	6.6E-9	2.31E-8	1.9599999189E0	2460957.653449073900	1.54E-8	5.9E-9	2.22E-8	1.7399998903E0
2460957.653599536978	1.75E-8	6.1E-9	1.93E-8	2.2999999523E0	2460957.653599536978	1.34E-8	1.1E-8	1.73E-8	2.8399999142E0
2460957.653645833489	1.55E-8	8.8E-9	2.39E-8	2.4600000381E0	2460957.653645833489	1.85E-8	1.09E-8	2.02E-8	1.6799999475E0
2460957.653750000056	1.76E-8	1.31E-8	1.9E-8	1.4799998999E0	2460957.653750000056	2.14E-8	1.04E-8	2.27E-8	2.1999998093E0
2460957.653796296101	1.95E-8	6.0E-9	2.31E-8	2.5599999428E0	2460957.653796296101	2.18E-8	4.5E-9	2.81E-8	1.4199999571E0
2460957.653854166623	1.87E-8	1.22E-8	1.99E-8	3.3999998569E0	2460957.653854166623	1.33E-8	1.02E-8	1.59E-8	1.3999998569E0
2460957.653900463134	1.57E-8	9.8E-9	2.76E-8	1.2399998903E0	2460957.653900463134	2.07E-8	7.7E-9	1.96E-8	1.1399998665E0
2460957.653946759179	1.78E-8	8.6E-9	1.98E-8	1.8999999762E0	2460957.653946759179	1.72E-8	7.3E-9	2.66E-8	1.7799999714E0
2460957.654097222257	1.8E-8	9.9E-9	2.51E-8	2.9199998379E0	2460957.654097222257	1.47E-8	7.6E-9	2.18E-8	3.4199998379E0
2460957.654247685336	1.48E-8	9.4E-9	1.6E-8	1.4599999189E0	2460957.654247685336	1.37E-8	6.8E-9	2.11E-8	1.7999999523E0
2460957.654340277892	1.91E-8	8.6E-9	2.23E-8	1.5999999046E0	2460957.654340277892	1.78E-8	7.4E-9	2.13E-8	1.2199999094E0
2460957.654398147948	1.73E-8	9.9E-9	1.98E-8	1.6399999857E0	2460957.654398147948	1.74E-8	5.7E-9	2.12E-8	2.5599999428E0
2460957.654444444459	1.87E-8	8.4E-9	2.22E-8	2.7400000095E0	2460957.654444444459	1.81E-8	8.0E-9	1.88E-8	2.1399998665E0
2460957.654490740970	1.2E-8	1.2E-8	2.07E-8	2.0399999619E0	2460957.654490740970	1.9E-8	6.6E-9	1.44E-8	1.6199998856E0
2460957.654594907537	1.92E-8	5.6E-9	2.26E-8	1.8199999332E0	2460957.654594907537	1.91E-8	1.11E-8	1.93E-8	1.6399998665E0
2460957.654641203582	1.94E-8	8.1E-9	2.14E-8	2.5599999428E0	2460957.654641203582	1.89E-8	6.4E-9	2.59E-8	2.3999998569E0
2460957.654733796138	1.93E-8	1.12E-8	1.52E-8	1.1999999285E0	2460957.654733796138	1.87E-8	8.7E-9	2.38E-8	1.7799998522E0
2460957.654791666660	1.85E-8	4.4E-9	1.39E-8	2.0999999046E0	2460957.654791666660	1.83E-8	8.3E-9	1.58E-8	1.0599999428E0
2460957.654837963171	1.85E-8	6.1E-9	1.7E-8	3.1399998665E0	2460957.654837963171	1.8E-8	1.06E-8	1.98E-8	1.7599998713E0
2460957.654884259216	1.61E-8	4.6E-9	2.49E-8	1.939999938E0	2460957.654884259216	1.34E-8	5.2E-9	2.51E-8	2.1599998474E0
2460957.654988425784	2.2E-8	5.8E-9	2.44E-8	1.379999876E0	2460957.654988425784	1.63E-8	6.8E-9	2.56E-8	2.1799998283E0
2460957.655034722295	1.78E-8	1.21E-8	1.77E-8	1.9599999189E0	2460957.655034722295	1.76E-8	9.7E-9	2.54E-8	3.8599998951E0
2460957.655081018340	1.66E-8	6.4E-9	1.9E-8	2.8399999142E0	2460957.655081018340	1.68E-8	8.9E-9	1.77E-8	1.9599999189E0
2460957.655138888862	1.54E-8	7.4E-9	2.16E-8	1.6799999475E0	2460957.655138888862	1.78E-8	7.2E-9	2.76E-8	1.1599999666E0
